Hail Contour Data
=================


0.75inch (threshold: 19mm)
----------------------------------------

Region 1
Points: 48
lat,lon
33.6944,-81.8600
33.6944,-81.8534
33.6890,-81.8600
33.6890,-81.8534
33.6836,-81.8534
33.6836,-81.8468
33.6782,-81.8468
33.6836,-81.8402
33.6782,-81.8402
33.6782,-81.8336
33.6836,-81.8336
33.6782,-81.8270
33.6836,-81.8270
33.6782,-81.8204
33.6836,-81.8204
33.6836,-81.8138
33.6890,-81.8138
33.6890,-81.8072
33.6944,-81.8072
33.6944,-81.8006
33.6999,-81.7940
33.6999,-81.8006
33.6999,-81.8072
33.6999,-81.8138
33.6999,-81.8204
33.6999,-81.8270
33.7053,-81.8006
33.7053,-81.8072
33.7053,-81.8138
33.7053,-81.8204
33.7053,-81.8270
33.7107,-81.8270
33.7053,-81.8336
33.7107,-81.8336
33.7161,-81.8336
33.7215,-81.8402
33.7161,-81.8402
33.7215,-81.8468
33.7161,-81.8468
33.7215,-81.8534
33.7161,-81.8534
33.7161,-81.8600
33.7107,-81.8600
33.7107,-81.8666
33.7053,-81.8600
33.7053,-81.8666
33.6999,-81.8600
33.6999,-81.8666

Region 2
Points: 18
lat,lon
33.7649,-81.9062
33.7649,-81.8996
33.7594,-81.8996
33.7594,-81.8930
33.7540,-81.8930
33.7594,-81.8864
33.7649,-81.8864
33.7594,-81.8798
33.7649,-81.8798
33.7649,-81.8732
33.7703,-81.8732
33.7703,-81.8798
33.7757,-81.8798
33.7703,-81.8864
33.7757,-81.8864
33.7757,-81.8930
33.7703,-81.8930
33.7703,-81.8996

Region 3
Points: 102
lat,lon
33.8136,-81.9524
33.8136,-81.9458
33.8082,-81.9458
33.8082,-81.9392
33.8082,-81.9326
33.8082,-81.9260
33.8028,-81.9392
33.8028,-81.9326
33.8082,-81.9194
33.8028,-81.9260
33.8028,-81.9194
33.8082,-81.9128
33.8028,-81.9128
33.7973,-81.9062
33.8028,-81.9062
33.7973,-81.8996
33.8028,-81.8996
33.7973,-81.8930
33.7919,-81.8864
33.7865,-81.8798
33.7865,-81.8732
33.7919,-81.8798
33.7973,-81.8864
33.8028,-81.8930
33.7865,-81.8666
33.7919,-81.8732
33.7865,-81.8600
33.7919,-81.8666
33.7865,-81.8534
33.7811,-81.8402
33.7919,-81.8600
33.7865,-81.8468
33.7811,-81.8336
33.7865,-81.8402
33.7919,-81.8534
33.7865,-81.8336
33.7865,-81.8270
33.7919,-81.8402
33.7973,-81.8534
33.7919,-81.8336
33.7973,-81.8468
33.7919,-81.8270
33.7973,-81.8402
33.7973,-81.8336
33.8028,-81.8534
33.8028,-81.8468
33.8082,-81.8534
33.8082,-81.8468
33.8136,-81.8864
33.8136,-81.8798
33.8136,-81.8732
33.8136,-81.8666
33.8136,-81.8600
33.8136,-81.8534
33.8190,-81.8600
33.8190,-81.8666
33.8190,-81.8732
33.8190,-81.8798
33.8190,-81.8864
33.8190,-81.8930
33.8244,-81.8930
33.8244,-81.8996
33.8298,-81.8996
33.8298,-81.9062
33.8353,-81.9062
33.8353,-81.9128
33.8298,-81.9128
33.8353,-81.9194
33.8298,-81.9194
33.8353,-81.9260
33.8298,-81.9260
33.8353,-81.9326
33.8353,-81.9392
33.8298,-81.9326
33.8461,-81.9590
33.8407,-81.9524
33.8353,-81.9458
33.8461,-81.9656
33.8407,-81.9590
33.8298,-81.9392
33.8461,-81.9722
33.8353,-81.9524
33.8407,-81.9656
33.8461,-81.9788
33.8298,-81.9458
33.8407,-81.9722
33.8461,-81.9854
33.8407,-81.9788
33.8407,-81.9854
33.8407,-81.9920
33.8353,-81.9788
33.8353,-81.9854
33.8353,-81.9920
33.8298,-81.9722
33.8298,-81.9788
33.8298,-81.9854
33.8244,-81.9590
33.8244,-81.9656
33.8244,-81.9722
33.8190,-81.9524
33.8190,-81.9590
33.8190,-81.9656

Region 4
Points: 62
lat,lon
33.8840,-82.1769
33.8840,-82.1703
33.8840,-82.1637
33.8840,-82.1571
33.8840,-82.1505
33.8840,-82.1439
33.8840,-82.1373
33.8786,-82.1703
33.8786,-82.1637
33.8786,-82.1571
33.8786,-82.1505
33.8786,-82.1439
33.8786,-82.1373
33.8786,-82.1307
33.8732,-82.1307
33.8678,-82.1241
33.8732,-82.1241
33.8732,-82.1175
33.8732,-82.1109
33.8786,-82.1175
33.8732,-82.1043
33.8786,-82.1109
33.8732,-82.0977
33.8732,-82.0911
33.8786,-82.1043
33.8732,-82.0845
33.8732,-82.0779
33.8786,-82.0977
33.8786,-82.0911
33.8786,-82.0779
33.8786,-82.0713
33.8840,-82.1109
33.8840,-82.1043
33.8840,-82.0977
33.8840,-82.0911
33.8840,-82.0845
33.8840,-82.0779
33.8894,-82.0911
33.8894,-82.0977
33.8894,-82.1043
33.8894,-82.1109
33.8894,-82.1175
33.8948,-82.1109
33.8948,-82.1175
33.9003,-82.1175
33.8948,-82.1241
33.9003,-82.1241
33.9003,-82.1307
33.8948,-82.1307
33.9003,-82.1373
33.8948,-82.1373
33.9003,-82.1439
33.9057,-82.1505
33.9003,-82.1505
33.8948,-82.1439
33.9003,-82.1571
33.9003,-82.1637
33.8948,-82.1571
33.8948,-82.1637
33.8948,-82.1703
33.8894,-82.1703
33.8894,-82.1769

Region 5
Points: 4
lat,lon
33.9057,-83.3456
33.9111,-83.3390
33.9165,-83.3456
33.9111,-83.3522

Region 6
Points: 112
lat,lon
33.9761,-83.4446
33.9761,-83.4380
33.9707,-83.4380
33.9707,-83.4314
33.9653,-83.4380
33.9653,-83.4314
33.9598,-83.4314
33.9598,-83.4248
33.9598,-83.4182
33.9544,-83.4248
33.9544,-83.4182
33.9544,-83.4116
33.9490,-83.4116
33.9544,-83.4050
33.9490,-83.4050
33.9544,-83.3984
33.9490,-83.3984
33.9544,-83.3918
33.9490,-83.3918
33.9436,-83.3918
33.9382,-83.3852
33.9436,-83.3852
33.9490,-83.3852
33.9328,-83.3786
33.9382,-83.3786
33.9273,-83.3720
33.9328,-83.3720
33.9273,-83.3654
33.9328,-83.3654
33.9219,-83.3588
33.9273,-83.3588
33.9219,-83.3522
33.9273,-83.3522
33.9273,-83.3456
33.9328,-83.3456
33.9273,-83.3390
33.9328,-83.3390
33.9328,-83.3324
33.9382,-83.3390
33.9382,-83.3324
33.9436,-83.3390
33.9436,-83.3324
33.9490,-83.3390
33.9544,-83.3456
33.9490,-83.3324
33.9544,-83.3390
33.9598,-83.3456
33.9598,-83.3390
33.9653,-83.3456
33.9653,-83.3390
33.9707,-83.3522
33.9707,-83.3456
33.9761,-83.3654
33.9761,-83.3588
33.9761,-83.3522
33.9815,-83.3588
33.9815,-83.3654
33.9815,-83.3720
33.9869,-83.3654
33.9869,-83.3720
33.9923,-83.3654
33.9923,-83.3720
33.9977,-83.3720
34.0032,-83.3720
33.9977,-83.3786
34.0032,-83.3786
34.0086,-83.3786
34.0032,-83.3852
34.0086,-83.3852
34.0140,-83.3918
34.0086,-83.3918
33.9977,-83.3918
33.9923,-83.3918
34.0194,-83.3984
34.0140,-83.3984
33.9869,-83.3918
34.0086,-83.3984
34.0248,-83.4050
34.0032,-83.3984
34.0194,-83.4050
34.0302,-83.4116
34.0140,-83.4050
33.9977,-83.3984
34.0248,-83.4116
34.0086,-83.4050
34.0302,-83.4182
33.9923,-83.3984
34.0032,-83.4050
34.0248,-83.4182
34.0302,-83.4248
34.0086,-83.4116
34.0248,-83.4248
34.0140,-83.4182
34.0194,-83.4248
34.0032,-83.4116
34.0248,-83.4314
33.9869,-83.3984
34.0086,-83.4182
34.0140,-83.4248
34.0194,-83.4314
33.9869,-83.4050
33.9815,-83.3984
33.9923,-83.4182
33.9869,-83.4116
33.9923,-83.4248
33.9869,-83.4182
33.9815,-83.4050
33.9869,-83.4248
33.9869,-83.4314
33.9815,-83.4116
33.9815,-83.4314
33.9815,-83.4380

Region 7
Points: 12
lat,lon
33.9328,-82.2363
33.9328,-82.2297
33.9273,-82.2297
33.9273,-82.2231
33.9328,-82.2231
33.9328,-82.2165
33.9382,-82.2165
33.9382,-82.2231
33.9436,-82.2231
33.9436,-82.2297
33.9382,-82.2297
33.9382,-82.2363

Region 8
Points: 20
lat,lon
33.9923,-83.4776
33.9923,-83.4710
33.9869,-83.4710
33.9815,-83.4644
33.9869,-83.4644
33.9815,-83.4578
33.9869,-83.4578
33.9869,-83.4512
33.9923,-83.4578
33.9923,-83.4512
33.9977,-83.4512
33.9977,-83.4578
34.0032,-83.4578
33.9977,-83.4644
34.0032,-83.4644
34.0032,-83.4710
34.0032,-83.4776
